country,year,exports,imports,gdp,net_exports
BWA,1965,14518367.1304168,23173547.5350884,45788696.3343915,-8655180.404671602
BWA,1966,15063118.6513488,26220984.3190145,51465655.3921083,-11157865.667665701
BWA,1967,14434139.8786695,29774771.6337773,58642354.089673,-15340631.755107801
BWA,1968,15272009.1269432,41701650.4927489,66248441.4182466,-26429641.3658057
BWA,1969,17616985.8381716,40665295.3734871,77361546.5067537,-23048309.5353155
BWA,1970,23729296.189075,58625319.9965383,96243233.6609837,-34896023.807463296
BWA,1971,42248934.6531096,78462307.2129178,127448613.505061,-36213372.5598082
BWA,1972,61462576.4076871,99569373.7804531,164460914.977201,-38106797.372766
BWA,1973,94797108.2559925,151271981.259563,244124164.042218,-56474873.0035705
BWA,1974,125243385.721665,198240705.719252,306044207.530203,-72997319.997587
BWA,1975,154832672.53363,226569557.056854,355168571.536751,-71736884.523224
BWA,1976,187450046.862512,246732561.68314,372025093.006273,-59282514.82062802
BWA,1977,229880279.348188,313019620.884603,451624780.274597,-83139341.53641501
BWA,1978,307369254.86351,404573045.932112,590407374.447116,-97203791.06860197
BWA,1979,443738520.037251,534964730.364279,819870258.783053,-91226210.32702798
BWA,1980,562900061.114864,704879539.386921,1060889703.75374,-141979478.27205706
BWA,1981,533739354.493282,768101843.109791,1073812830.30052,-234362488.61650902
BWA,1982,553774494.712337,703095484.824617,1014945695.71927,-149320990.11228
BWA,1983,727761034.01688,733413192.868069,1172230396.58099,-5652158.851189017
BWA,1984,754559745.157979,719207808.541921,1240822167.43571,35351936.61605799
BWA,1985,739001569.984132,571123119.448619,1114783342.71539,167878450.53551304
BWA,1986,951576888.200159,684167897.723644,1392602163.53829,267408990.47651494
BWA,1987,1476466415.43687,951998908.835986,1965226890.04557,524467506.6008841
BWA,1988,1864990911.01987,1161743377.95064,2644554158.72794,703247533.0692301
BWA,1989,1826381244.39795,1422760394.3846,3083822112.02023,403620850.01335
BWA,1990,2086950258.69863,1887430353.47058,3790636324.44775,199519905.22805
BWA,1991,2090888359.81375,1834576022.34317,3942876703.45184,256312337.4705801
BWA,1992,1997748521.72677,1723755465.75976,4146464586.61674,273993055.96701
BWA,1993,1959245999.40159,1627126688.19578,4160129174.70569,332119311.20581007
BWA,1994,2036880108.9157,1718960979.94334,4259259604.15623,317919128.9723599
BWA,1995,2404870920.53371,2070047438.73744,4730599121.92704,334823481.7962699
BWA,1996,2609472302.63429,1799833162.71569,4847757217.75815,809639139.9186003
BWA,1997,3056374790.69444,2395855332.15933,5020265626.66489,660519458.53511
BWA,1998,2361188675.49481,2517487481.89726,4790481509.17679,-156298806.40245008
BWA,1999,3027163553.28643,2398367786.48883,5484263346.88105,628795766.7975998
BWA,2000,3000196009.25164,2320710337.52793,5788329609.15755,679485671.7237101
BWA,2001,2671112100.25337,2133671163.45956,5489608299.66445,537440936.7938099
BWA,2002,2836771499.44246,2158051339.23492,5438863982.88692,678720160.20754
BWA,2003,3667669548.87978,2779825087.3755,7511582173.37724,887844461.5042796
BWA,2004,4444139018.51733,3706961580.25954,8957467706.5354,737177438.2577901
BWA,2005,5249438114.40968,3529325541.85315,9918907108.09702,1720112572.5565305
BWA,2006,5136222269.86604,3455002315.48977,9919158482.41085,1681219954.3762703
BWA,2007,5968390548.64143,4440003828.10973,10567270655.5027,1528386720.5317001
BWA,2008,5037792114.61554,5586611000.2581,10730829116.4105,-548818885.64256
BWA,2009,3625814470.20898,5327078064.97761,10118459242.3183,-1701263594.7686296
